,name,old_price,price,dollars
54, Laptop Hp Probook 440 Core I5 8265u 8gb 256gb Ssd Win10 Pro ,,13899.0,277980.0
55, Laptop Lenovo 14 V330 Intel Core I5 8250u 8gb 1tb Win 10 Pro ,,11989.0,239780.0
56, Laptop Dell Latitude 3400 14 Intel Core I5 8265u 8gb 1 Tb ,,14699.0,293980.0
57, Laptop Gamer Hp Slim Ryzen 3 3200u 4gb Ssd 128gb 14 Fortnite ,9689.0,7989.0,159780.0
58, Laptop Lenovo Ideapad Intel Core I7 8gb 1tb 14 Wifi Platino ,,13589.0,271780.0
59, Laptop Gamer Nvidia Geforce Gtx 1050 4gb Msi Gf63 Thin I5 8300h 8gb 1tb Ssd 128gb 15.6 Full Hd 8rcs-041mx ,24479.0,18999.0,379980.0
60, Laptop Hp Probook 440 G5 14 Core I5-8250u 8gb Ram 256gb Ssd ,,13499.0,269980.0
61, Laptop Gamer Msi Gf63 Thin I5 8300h 8gb 1tb Ssd 128gb 15.6 Full Hd Nvidia Geforce Gtx 1050 4gb 8rcs-041mx ,24479.0,18999.0,379980.0
62, Lenovo V130 15.6 Intel N5000 4gb Ram Dd 500gb W10 Pro Dvd ,,5699.0,113980.0
63, Laptop Gamer Dell G5 5590 I7 16gb 1tb 15 Gtx1650 Ssd256 Gb ,,23999.0,479980.0
64, Laptop Hp 15'' Probook 450 G6 Core I5 8265u 1tb 8gb Nvidia ,,14789.0,295780.0
65, Laptop Hp A9 3.7ghz 12gb Ddr4 1tb Dvd 15-db0005lm + Bocina ,,8999.0,179980.0
66, Laptop Lenovo S340 15.6 Fhd Core I5 10a Gen 12gb Ram 1tb ,,14799.0,295980.0
67, Laptop Lenovo V130 Intel Celeron N4000 4gb 500gb 14 81hm009t ,6899.0,4999.0,99980.0
68, Laptop Lenovo V130 Intel Dual Core N4000 4gb 500gb 14 Wifi ,6899.0,5299.0,105980.0
69, Laptop Compax G-air W10 Celeron N3060 8gb 500gb Nueva+msi ,,3999.0,79980.0
70, Laptop Gamer Acer Nitro 5 Core I7 Gtx1050 128ssd 1tb Hdd ,,23499.0,469980.0
71, Laptop Nvidia Geforce Gtx 1050 Lenovo Y530 I5 8gb 1tb ,21989.0,18999.0,379980.0
72, Laptop Asus Intel Celeron N4000 4gb 500gb A407ma-bv044t 14 ,6499.0,5399.0,107980.0
73, Laptop Dell Precision 7710 Intel Core I7 16gb 1tb Pantalla 17 Nvidia Quadro M4000m Renders 3d Diseño Edicion Video ,37899.0,29899.0,597980.0
74, Laptop Hp Intel Core I5 1035g1 8gb Ssd 256gb+ 16gb Optane ,15585.0,11499.0,229980.0
75, Laptop Gamer Msi Gf75 Thin 17.3 Gtx1650 4gb Ssd128 +backpack ,,25499.0,509980.0
76, Laptop Chromebook 11.6 Intel Celeron N2840 2gb 16gb Lenovo ,3359.0,2599.0,51980.0
77, Dell Precision M4800 Workstation Core I7 32gb Ram Ssd 1tb Nvidia Hd Vuela Ddr5 2gb Video ,,16299.0,325980.0
78, Laptop Asus A407ma Celeron 4-ddr4 500disco + Office + Antivi ,,5850.0,117000.0
79, Laptop Gamer Asus Intel Core I5 8gb 1tb Nvidia Geforce 930mx ,15369.0,11599.0,231980.0
80, Dell Precision M4800 Workstation I7 32gb Ram Laptop Ssd 500gb Factura Garantia Nvidia Quadro Ddr5 ,,15299.0,305980.0
81, Laptop Toshiba I5 7200u 8gb Ram 1 Tb Dd Win 10 Pro ,,12999.0,259980.0
82, Laptop Hp Gamer Ryzen 7-3700u 8gb 512gb Ssd Facturamos!!!! ,,14190.0,283800.0
83, Laptop Lenovo Thinkpad L470 Core I5 7200u 4gb Ram 500gb Msi ,,12999.0,259980.0
84, Dell Precision M4800 Workstation Nvidia Quadro Ddr5 Core I7-4800mq 32gb Ssd 256gb Garantia Factura ,13999.0,13159.0,263180.0
85, Laptop Hp Intel Quad Core N5000 8gb 1tb Pantalla 17.3 Wifi ,8989.0,7599.0,151980.0
86, Laptop Hp 15.6 Probook 450 G5 Core I5 7200u 1tb 8gb Ram +msi ,,13499.0,269980.0
87, Laptop Vorago Alpha Intel Dual Core 4gb 500gb 14 Windows 10 ,5299.0,4599.0,91980.0
88, Laptop Compax S4000 W10h Celeron N3060 4gb 500gb Nueva+msi ,,3499.0,69980.0
89, Laptop Gamer Hp Amd A9 4gb Ssd 128gb 14 Radeon Fornite Pubg ,8299.0,6399.0,127980.0
90, Laptop Samsung Chromebook 16gb 11.6 Pulgadas Xe303c12 ,,2599.0,51980.0
91, Laptop Gamer Asus Rog Core I7 12gb 1tb 15.6 Geforce Gtx 1050 ,19989.0,17999.0,359980.0
92, Laptop Dell Precision M4800 Workstation I7 Ddr5 Nvidia Quadro 16gb Ram Hd Ssd 128gb Muy Veloz Garantia Factura ,,12345.0,246900.0
93, Laptop Asus Zenbook Ux461ua Core I5 8gb Ssd 256gb 14 Touch ,13899.0,12499.0,249980.0
94, Laptop Toshiba Portege Intel I5-7200u 8gb 1 Tb Win 10 Pro ,,15999.0,319980.0
95, Laptop Lenovo Y530 Nvidia Geforce Gtx 1050 Core I5 8gb 1tb ,21989.0,18999.0,379980.0
96, Laptop Gamer Dell G3 3779 Intel Core I7 8750h 16gb 1tb Ssd 128gb Pantalla 17 Full Hd Nvidia Geforce Gtx 1050ti 4gb ,41749.0,28799.0,575980.0
97, Laptop Hp 840 G5 Elitebook Core I7 8550u 8gb Ram 256 Gb Ssd ,,17989.0,359780.0
